"Вкупно за сите ЈЗУ","",""
"ПРЕГЛЕД","",""
"на состојбата на неплатени обврски на ЈЗУ","",""
" 2017 година (во денари)","",""
"","",""
"р.бр.","Здравствена установа","мај"
"1.0","Стоматолошки клинички центар","16786242.0"
"2.0","Максилофацијална хирургија","9068327.0"
"3.0","ЈЗУ Универзитетска клиника за радиологија","885985.0"
"4.0","ЈЗУ Универзитетска клиника за радиотерапија и онкологија","62577916.0"
"5.0","ЈЗУ Универзитетска клиника за кардиологија","72821292.0"
"6.0","ЈЗУ Универзитетска клиника за клиничка биохемија","12908996.0"
"7.0","ЈЗУ Универзитетска клиника за нефрологија","95582061.0"
"8.0","ЈЗУ Универзитетска клиника за гастроентерохепатологија","6274784.0"
"9.0","ЈЗУ Универзитетска клиника за пулмологија и алергологија","43277576.0"
"10.0","ЈЗУ Универзитетска клиника за ендокринологија, дијабетес и метаболички нарушувања","4666761.0"
"11.0","ЈЗУ Универзитетска клиника за ревматологија","нема податок"
"12.0","ЈЗУ Универзитетска клиника за хематологија","77089851.0"
"13.0","ЈЗУ Универзитетска клиника за токсикологија","43773028.0"
"14.0","ЈЗУ Универзитетска клиника за детски болести","125457621.0"
"15.0","ЈЗУ Универзитетска клиника за инфективни болести и фебрилни состојби","8870716.0"
"16.0","ЈЗУ Универзитетска клиника за дерматологија","37102671.0"
"17.0","ЈЗУ Универзитетска клиника за неврологија","29308841.0"
"18.0","ЈЗУ Универзитетска клиника за урологија","11136057.0"
"19.0","ЈЗУ Универзитетска клиника за неврохирургија","61400825.0"
"20.0","ЈЗУ Универзитетска клиника за дигестивна хирургија","68434077.0"
"21.0","ЈЗУ Универзитетска клиника за торакална и васкуларна хирургија","63988333.0"
"22.0","ЈЗУ Универзитетска клиника за пластична и реконструктивна хирургија","68414030.0"
"23.0","ЈЗУ Универзитетска клиника за детска хирургија","73783311.0"
"24.0","ЈЗУ Универзитетска клиника за уво, нос и грло","17793349.0"
"25.0","ЈЗУ Универзитетска клиника за очни болести","30795434.0"
"26.0","ЈЗУ Универзитетска клиника за гинекологија и акушерство","77446958.0"
"27.0","ЈЗУ Универзитетска клиника за психијатрија","5139365.0"
"28.0","ЈЗУ Завод за рехабилитација на слух, говор и глас","0.0"
"29.0","ЈЗУ Универзитетска клиника за трауматологија, ортопедски болести, анестезија, реанимација и интензивно лекување и ургентен центар-Скопје","151575659.0"
"30.0","Клиничка болница-Битола","30381945.0"
"31.0","Општа болница-Гевгелија","26454644.0"
"32.0","Општа болница-Гостивар","58543920.0"
"33.0","Општа болница-Дебар","8052261.0"
"34.0","Општа болница-Кавадарци","26411579.0"
"35.0","Општа болница-Кичево","11417979.0"
"36.0","Општа болница-Кочани","24162976.0"
"37.0","Општа болница-Куманово","172350500.0"
"38.0","Општа болница-Охрид","нема податок"
"39.0","Општа болница-Прилеп","77138538.0"
"40.0","Општа болница-Струга","35599500.0"
"41.0","Општа болница-Струмица","14332360.0"
"42.0","Клиничка болница-Тетово","1010812.0"
"43.0","Општа болница-Велес","51303700.0"
"44.0","Општа болница-Штип","34698324.0"
"45.0","Градска болница 8-ми септември-Скопје","225705024.0"
"46.0","Клиника по хируршки болести-Св. Наум Охридски-Скопје","200696531.0"
"47.0","Специјална болница по гинекологија и акушерство-Мајка Тереза-Скопје","38198133.0"
"48.0","Институт по белодробни заболувања кај децата-Козле-Скопје","46927990.0"
"49.0","Психијатриска болница-Скопје","4000000.0"
"50.0","Психијатриска болница-Демир Хисар","24654.0"
"51.0","Психијатриска болница-Негорци","40502.0"
"52.0","Болница Јасеново-Велес","0.0"
"53.0","Специјална болница за ортопедија и трауматологија Св. Еразмо-Охрид","92535546.0"
"54.0","Институт за ТБЦ-Скопје","2808905.0"
"55.0","Завод за медицинска рехабилитација-Скопје","687349.0"
"56.0","Завод за рехабилитација на слух, говор и глас-Битола","267084.0"
"57.0","Завод за превенција, лекување и рехабилитација на кардиоваскуларни заболувања-Охрид","14786794.0"
"58.0","Завод за рехабилитација-Отешево","2252411.0"
"59.0","Геронтолошки завод-Скопје","4539756.0"
"60.0","Завод за нефрологија-Струга","47348633.0"
"61.0","Специјална болница за ТБЦ Лешок-Тетово","0.0"
"62.0","Здравствен дом-Битола","205835.0"
"63.0","Здравствен дом-Гевгелија","14760530.0"
"64.0","Здравствен дом-Гостивар","14506157.0"
"65.0","Здравствен дом-Дебар","1146886.0"
"66.0","Здравствен дом-Кавадарци","250444.0"
"67.0","Здравствен дом-Кичево","892620.0"
"68.0","Здравствен дом-Кочани","120606.0"
"69.0","Здравствен дом-Крива Паланка","14736219.0"
"70.0","Здравствен дом-Куманово","4907379.0"
"71.0","Здравствен дом-Охрид","3615028.0"
"72.0","Здравствен дом-Прилеп","7050648.0"
"73.0","Здравствен дом-Струга","1282005.0"
"74.0","Здравствен дом-Струмица","529281.0"
"75.0","Здравствен дом-Тетово","19361053.0"
"76.0","Здравствен дом-Велес","532207.0"
"77.0","Здравствен дом-Штип","5013248.0"
"78.0","Здравствен дом-Берово","0.0"
"79.0","Здравствен дом-Македонски Брод","1005669.0"
"80.0","Здравствен дом-Валандово","2111912.0"
"81.0","Здравствен дом-Вевчани","4386724.0"
"82.0","Здравствен дом-Виница","0.0"
"83.0","Здравствен дом-Делчево","7200.0"
"84.0","Здравствен дом-Демир Хисар","0.0"
"85.0","Здравствен дом-Кратово","2669995.0"
"86.0","Здравствен дом-Крушево","2435611.0"
"87.0","Здравствен дом-Неготино","98531.0"
"88.0","Здравствен дом-Пехчево","98400.0"
"89.0","Здравствен дом-Пробиштип","356344.0"
"90.0","Здравствен дом-Радовиш","277473.0"
"91.0","Здравствен дом-Ресен","1310707.0"
"92.0","Здравствен дом-Ростуше","179903.0"
"93.0","Здравствен дом-Свети Николе","0.0"
"94.0","Здравствен дом-Скопје","14029219.0"
"95.0","Здравствен дом-Железничар","0.0"
"96.0","Здравствена станица-Кирил и Методиј","3418194.0"
"97.0","Здравствена станица-Железара","24400.0"
"98.0","Медицински факултет-Институти-Скопје","33724237.0"
"99.0","Институт за трансфузиона медицина на РМ","283120562.0"
"100.0","Институт за јавно здравје на Република Македонија","134974081.0"
"101.0","Центар за јавно здравје-Битола","4028217.0"
"102.0","Центар за јавно здравје-Велес","488615.0"
"103.0","Центар за јавно здравје-Кочани","0.0"
"104.0","Центар за јавно здравје-Прилеп","0.0"
"105.0","Центар за јавно здравје-Куманово","0.0"
"106.0","Центар за јавно здравје-Скопје","47205586.0"
"107.0","Центар за јавно здравје-Струмица","70207.0"
"108.0","Центар за јавно здравје-Тетово","4924235.0"
"109.0","Центар за јавно здравје-Штип","41436.0"
"110.0","Центар за јавно здравје-Охрид","4363330.0"
"111.0","Медицина на трудот","1627816.0"
"112.0","Здравствена станица Липково","0.0"
"113.0","Универзитетска клиника за државна кардиохирургија-Скопје","17590306.0"
"","ВКУПНО:","3182517472.0"
